object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Не заполнено,2,3/5,10.0,40.0,60.0,200.0,12000.0,Панель,20/5/2021,10/2/2022,0,0,0,0,0,0,0,0,Не заполнено,0,0,47.863361,56.647656999999995,Антон,3.6344512000000004,Йошкар-Ола,1.9517143237641257,new
0,Квартира,2,1/10,12.0,45.0,60.0,583.0,35000.0,Кирпич,30/9/2021,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,47.877609,56.625316000000005,Антон Александрович,3.6344512000000004,Йошкар-Ола,1.702296839611606,new
0,Многоквартирный дом,3,1/5,10.0,54.0,82.0,268.0,22000.0,Кирпич,15/9/2021,10/2/2022,1987,кирпичный,0,5,5,Нет,5,Железобетонные,Кирпич,Центральное,Да,47.900983000000004,56.644836,"Риелторская компания ""Партнеры""",3.6344512000000004,Йошкар-Ола,0.9209452524249684,old
0,Многоквартирный дом,1,2/5,8.0,18.0,35.0,314.0,11000.0,Кирпич,11/1/2022,10/2/2022,1987,Кирпичный,0,5,5,Нет,1,Железобетонные,Кирпич,Центральное,Да,47.878426,56.647054000000004,"Риелторская компания ""Партнеры""",3.6344512000000004,Йошкар-Ола,1.1939072603780752,old
0,Многоквартирный дом,1,2/9,9.0,16.0,35.0,429.0,15000.0,Кирпич,10/2/2022,10/2/2022,2015,кирпичный,0,10,9,Нет,6,Железобетонные,Кирпич,Квартирное отопление (квартирный котел),Да,47.853085,56.646058999999994,"""Орбита""",3.6344512000000004,Йошкар-Ола,2.4510246381870733,new
0,Многоквартирный дом,2,8/9,7.5,31.0,56.0,214.0,12000.0,Панель,1/5/2021,9/2/2022,1975,125,0,9,0,Есть,6,Железобетонные,Панельные,Центральное,Нет,47.908178,56.627565000000004,Марий Эл недвижимость,3.6344512000000004,Йошкар-Ола,1.642182403460089,old
0,Многоквартирный дом,1,2/10,9.0,,37.0,243.0,9000.0,Кирпич,7/2/2021,9/2/2022,2002,0,0,10,10,Нет,8,Железобетонные,Кирпич,Центральное,Да,47.9358013247274,56.6376248133477,"Агентство ""Квартира 12""",3.6344512000000004,Йошкар-Ола,2.7654818904204896,middle
0,Многоквартирный дом,2,3/5,8.0,35.0,50.0,260.0,13000.0,Панель,23/8/2017,9/2/2022,1942,-,0,2,0,Нет,2,Деревянные,Деревянные,Центральное,Да,47.871168,56.636936999999996,марина,3.6344512000000004,Йошкар-Ола,1.2206039325924085,old
0,Многоквартирный дом,1,3/5,3.0,15.0,18.2,440.0,8000.0,Кирпич,13/10/2021,9/2/2022,1970,кирпичный,0,5,5,Нет,3,Железобетонные,Кирпич,Центральное,Нет,47.840158,56.635298,"АН ""Альянс""",3.6344512000000004,Йошкар-Ола,3.13026461002831,old
0,Многоквартирный дом,2,1/5,8.0,30.0,54.0,278.0,15000.0,Панель,10/2/2022,10/2/2022,1975,панельный,0,5,5,Нет,6,Железобетонные,Панельные,Центральное,Да,47.842682,56.634584999999994,Татьяна ( риэлтор ),3.6344512000000004,Йошкар-Ола,2.988009628081362,old
